"filename", "language", "C", "Assembly", "C++", "comment", "blank", "total"
"/Users/esadfurkanduman/kernel__/apps/init.c", "C", 4, 0, 0, -2, 0, 2
"/Users/esadfurkanduman/kernel__/arch/x86/boot/boot.asm", "Assembly", 0, 0, 0, 0, -1, -1
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/idt.c", "C", 11, 0, 0, 2, 6, 19
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/idt_s.asm", "Assembly", 0, 13, 0, 1, 2, 16
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/isr.c", "C", 16, 0, 0, -1, 3, 18
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/user_mode.asm", "Assembly", 0, 0, 0, 4, -1, 3
"/Users/esadfurkanduman/kernel__/drivers/ata.c", "C", 12, 0, 0, 0, 6, 18
"/Users/esadfurkanduman/kernel__/drivers/keyboard.c", "C", 2, 0, 0, 0, 0, 2
"/Users/esadfurkanduman/kernel__/fs/vfs.c", "C", 65, 0, 0, 0, 16, 81
"/Users/esadfurkanduman/kernel__/include/fs.h", "C++", 0, 0, 7, 1, 1, 9
"/Users/esadfurkanduman/kernel__/include/init_elf.h", "C++", 0, 0, 1348, 0, 1, 1349
"/Users/esadfurkanduman/kernel__/include/isr.h", "C++", 0, 0, 0, -5, -2, -7
"/Users/esadfurkanduman/kernel__/include/process.h", "C++", 0, 0, 43, 0, 12, 55
"/Users/esadfurkanduman/kernel__/kernel/elf.c", "C", 12, 0, 0, -13, -1, -2
"/Users/esadfurkanduman/kernel__/kernel/kernel.c", "C", -24, 0, 0, -81, -5, -110
"/Users/esadfurkanduman/kernel__/kernel/process.c", "C", 71, 0, 0, 0, 15, 86
"/Users/esadfurkanduman/kernel__/kernel/syscall.c", "C", 31, 0, 0, 0, 7, 38
"/Users/esadfurkanduman/kernel__/mm/paging.c", "C", 14, 0, 0, 1, 1, 16
"/Users/esadfurkanduman/kernel__/mm/pmm.c", "C", 19, 0, 0, -8, 3, 14
"Total", "-", 233, 13, 1398, -101, 63, 1606
