"filename", "language", "C", "Makefile", "C++", "comment", "blank", "total"
"/Users/esadfurkanduman/kernel__/Makefile", "Makefile", 0, 46, 0, 0, 12, 58
"/Users/esadfurkanduman/kernel__/apps/init.c", "C", 104, 0, 0, 8, 16, 128
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/isr.c", "C", -3, 0, 0, 8, 5, 10
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/timer.c", "C", 7, 0, 0, 0, 1, 8
"/Users/esadfurkanduman/kernel__/crypto/aes.c", "C", 359, 0, 0, 131, 82, 572
"/Users/esadfurkanduman/kernel__/drivers/keyboard.c", "C", -231, 0, 0, -2, -15, -248
"/Users/esadfurkanduman/kernel__/drivers/rtc.c", "C", 1, 0, 0, 0, 0, 1
"/Users/esadfurkanduman/kernel__/fs/crypto_fs.c", "C", 55, 0, 0, 9, 17, 81
"/Users/esadfurkanduman/kernel__/fs/vfs.c", "C", 35, 0, 0, 11, 10, 56
"/Users/esadfurkanduman/kernel__/include/aes.h", "C++", 0, 0, 48, 20, 22, 90
"/Users/esadfurkanduman/kernel__/include/arch.h", "C++", 0, 0, 17, 2, 7, 26
"/Users/esadfurkanduman/kernel__/include/crypto.h", "C++", 0, 0, 19, 3, 7, 29
"/Users/esadfurkanduman/kernel__/include/elf.h", "C++", 0, 0, 1, 0, 1, 2
"/Users/esadfurkanduman/kernel__/include/errno.h", "C++", 0, 0, 11, 4, 3, 18
"/Users/esadfurkanduman/kernel__/include/fs.h", "C++", 0, 0, 6, 0, 1, 7
"/Users/esadfurkanduman/kernel__/include/gdt.h", "C++", 0, 0, 5, 1, 2, 8
"/Users/esadfurkanduman/kernel__/include/init_elf.h", "C++", 0, 0, -1343, 0, 1, -1342
"/Users/esadfurkanduman/kernel__/include/isr.h", "C++", 0, 0, -5, 6, -1, 0
"/Users/esadfurkanduman/kernel__/include/kernel.h", "C++", 0, 0, 3, 0, -2, 1
"/Users/esadfurkanduman/kernel__/include/keyboard.h", "C++", 0, 0, 1, 0, 0, 1
"/Users/esadfurkanduman/kernel__/include/paging.h", "C++", 0, 0, 5, 2, 0, 7
"/Users/esadfurkanduman/kernel__/include/pmm.h", "C++", 0, 0, 1, 0, 1, 2
"/Users/esadfurkanduman/kernel__/include/process.h", "C++", 0, 0, 16, 0, 0, 16
"/Users/esadfurkanduman/kernel__/include/registers.h", "C++", 0, 0, 22, 2, 5, 29
"/Users/esadfurkanduman/kernel__/include/security.h", "C++", 0, 0, 12, 1, 5, 18
"/Users/esadfurkanduman/kernel__/include/shell.h", "C++", 0, 0, 7, 2, 4, 13
"/Users/esadfurkanduman/kernel__/include/signal.h", "C++", 0, 0, 1, 0, 0, 1
"/Users/esadfurkanduman/kernel__/include/syscall.h", "C++", 0, 0, 36, 0, 8, 44
"/Users/esadfurkanduman/kernel__/include/types.h", "C++", 0, 0, 1, 0, 1, 2
"/Users/esadfurkanduman/kernel__/kernel/elf.c", "C", 11, 0, 0, 17, 7, 35
"/Users/esadfurkanduman/kernel__/kernel/kernel.c", "C", 3, 0, 0, 14, -3, 14
"/Users/esadfurkanduman/kernel__/kernel/process.c", "C", 52, 0, 0, 28, 12, 92
"/Users/esadfurkanduman/kernel__/kernel/security.c", "C", 82, 0, 0, 15, 17, 114
"/Users/esadfurkanduman/kernel__/kernel/shell.c", "C", 168, 0, 0, 0, 8, 176
"/Users/esadfurkanduman/kernel__/kernel/signal.c", "C", 5, 0, 0, 0, 1, 6
"/Users/esadfurkanduman/kernel__/kernel/syscall.c", "C", 131, 0, 0, 25, 16, 172
"/Users/esadfurkanduman/kernel__/lib/Makefile", "Makefile", 0, 1, 0, 0, 1, 2
"/Users/esadfurkanduman/kernel__/mm/kheap.c", "C", -9, 0, 0, 3, -2, -8
"/Users/esadfurkanduman/kernel__/mm/paging.c", "C", -1, 0, 0, 0, 0, -1
"/Users/esadfurkanduman/kernel__/mm/pmm.c", "C", 14, 0, 0, 18, 3, 35
"/Users/esadfurkanduman/kernel__/src/resources/init_elf_data.c", "C", 1384, 0, 0, 0, 1, 1385
"/Users/esadfurkanduman/kernel__/tools/encrypt_tool.c", "C", 57, 0, 0, 15, 19, 91
"Total", "-", 2224, 47, -1136, 343, 273, 1751
