"filename", "language", "C", "Assembly", "C++", "Python", "Makefile", "comment", "blank", "total"
"/Users/esadfurkanduman/kernel__/Makefile", "Makefile", 0, 0, 0, 0, 63, 0, 9, 72
"/Users/esadfurkanduman/kernel__/apps/bin/hello.c", "C", 13, 0, 0, 0, 0, 4, 5, 22
"/Users/esadfurkanduman/kernel__/apps/hello.asm", "Assembly", 0, -11, 0, 0, 0, 0, -3, -14
"/Users/esadfurkanduman/kernel__/apps/init.c", "C", 176, 0, 0, 0, 0, -34, 35, 177
"/Users/esadfurkanduman/kernel__/arch/x86/boot/boot.asm", "Assembly", 0, 0, 0, 0, 0, -6, -1, -7
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/isr.c", "C", 0, 0, 0, 0, 0, -6, -5, -11
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/user_mode.asm", "Assembly", 0, 0, 0, 0, 0, -3, 0, -3
"/Users/esadfurkanduman/kernel__/crypto/aes.c", "C", 1, 0, 0, 0, 0, 0, -1, 0
"/Users/esadfurkanduman/kernel__/drivers/ata.c", "C", 10, 0, 0, 0, 0, -13, 2, -1
"/Users/esadfurkanduman/kernel__/fs/crypto_fs.c", "C", 0, 0, 0, 0, 0, -37, -2, -39
"/Users/esadfurkanduman/kernel__/fs/devfs.c", "C", 23, 0, 0, 0, 0, 2, 5, 30
"/Users/esadfurkanduman/kernel__/fs/vfs.c", "C", 9, 0, 0, 0, 0, -12, 1, -2
"/Users/esadfurkanduman/kernel__/include/devfs.h", "C++", 0, 0, 13, 0, 0, 0, 5, 18
"/Users/esadfurkanduman/kernel__/include/fs.h", "C++", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/esadfurkanduman/kernel__/include/kernel.h", "C++", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/esadfurkanduman/kernel__/include/libft.h", "C++", 0, 0, 1, 0, 0, 0, 0, 1
"/Users/esadfurkanduman/kernel__/include/pipe.h", "C++", 0, 0, 17, 0, 0, 0, 5, 22
"/Users/esadfurkanduman/kernel__/include/process.h", "C++", 0, 0, 13, 0, 0, 0, 3, 16
"/Users/esadfurkanduman/kernel__/include/stdio.h", "C++", 0, 0, 3, 0, 0, 0, 1, 4
"/Users/esadfurkanduman/kernel__/include/syscall.h", "C++", 0, 0, 5, 0, 0, -1, 0, 4
"/Users/esadfurkanduman/kernel__/include/tss.h", "C++", 0, 0, 0, 0, 0, -1, 0, -1
"/Users/esadfurkanduman/kernel__/include/types.h", "C++", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/esadfurkanduman/kernel__/kernel/core/kernel.c", "C", 176, 0, 0, 0, 0, 1, 36, 213
"/Users/esadfurkanduman/kernel__/kernel/core/klog.c", "C", 61, 0, 0, 0, 0, 0, 21, 82
"/Users/esadfurkanduman/kernel__/kernel/elf.c", "C", -108, 0, 0, 0, 0, -30, -32, -170
"/Users/esadfurkanduman/kernel__/kernel/kernel.c", "C", -107, 0, 0, 0, 0, -14, -25, -146
"/Users/esadfurkanduman/kernel__/kernel/proc/elf.c", "C", 142, 0, 0, 0, 0, 1, 30, 173
"/Users/esadfurkanduman/kernel__/kernel/proc/pipe.c", "C", 60, 0, 0, 0, 0, 0, 13, 73
"/Users/esadfurkanduman/kernel__/kernel/proc/process.c", "C", 330, 0, 0, 0, 0, 0, 73, 403
"/Users/esadfurkanduman/kernel__/kernel/proc/signal.c", "C", 40, 0, 0, 0, 0, 0, 7, 47
"/Users/esadfurkanduman/kernel__/kernel/process.c", "C", -330, 0, 0, 0, 0, -40, -82, -452
"/Users/esadfurkanduman/kernel__/kernel/security.c", "C", -89, 0, 0, 0, 0, -23, -20, -132
"/Users/esadfurkanduman/kernel__/kernel/security/passwd.c", "C", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/esadfurkanduman/kernel__/kernel/security/security.c", "C", 89, 0, 0, 0, 0, 0, 15, 104
"/Users/esadfurkanduman/kernel__/kernel/shell.c", "C", -168, 0, 0, 0, 0, 0, -8, -176
"/Users/esadfurkanduman/kernel__/kernel/signal.c", "C", -40, 0, 0, 0, 0, 0, -7, -47
"/Users/esadfurkanduman/kernel__/kernel/syscall.c", "C", -394, 0, 0, 0, 0, -35, -38, -467
"/Users/esadfurkanduman/kernel__/kernel/syscall/syscall.c", "C", 737, 0, 0, 0, 0, 12, 91, 840
