Date : 2026-07-05 02:23:35
Directory : /Users/esadfurkanduman/kernel__
Total : 61 files,  1392 codes, -109 comments, 308 blanks, all 1591 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| C        |         44 |      1,231 |       -103 |        272 |      1,400 |
| C++      |         11 |         91 |         -1 |         23 |        113 |
| Makefile |          1 |         63 |          0 |          9 |         72 |
| Python   |          2 |         18 |          4 |          8 |         30 |
| Assembly |          3 |        -11 |         -9 |         -4 |        -24 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                            | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                               |         61 |      1,392 |       -109 |        308 |      1,591 |
| . (Files)                                                       |          1 |         63 |          0 |          9 |         72 |
| apps                                                            |          3 |        178 |        -30 |         37 |        185 |
| apps (Files)                                                    |          2 |        165 |        -34 |         32 |        163 |
| apps/bin                                                        |          1 |         13 |          4 |          5 |         22 |
| arch                                                            |          3 |          0 |        -15 |         -6 |        -21 |
| arch/x86                                                        |          3 |          0 |        -15 |         -6 |        -21 |
| arch/x86/boot                                                   |          1 |          0 |         -6 |         -1 |         -7 |
| arch/x86/cpu                                                    |          2 |          0 |         -9 |         -5 |        -14 |
| crypto                                                          |          1 |          1 |          0 |         -1 |          0 |
| drivers                                                         |          1 |         10 |        -13 |          2 |         -1 |
| fs                                                              |          3 |         32 |        -47 |          4 |        -11 |
| include                                                         |         10 |         56 |         -2 |         16 |         70 |
| kernel                                                          |         16 |        399 |       -128 |         75 |        346 |
| kernel (Files)                                                  |          7 |     -1,236 |       -142 |       -212 |     -1,590 |
| kernel/core                                                     |          2 |        237 |          1 |         57 |        295 |
| kernel/proc                                                     |          4 |        572 |          1 |        123 |        696 |
| kernel/security                                                 |          2 |         89 |          0 |         16 |        105 |
| kernel/syscall                                                  |          1 |        737 |         12 |         91 |        840 |
| lib                                                             |          3 |        143 |         11 |         29 |        183 |
| mm                                                              |          2 |          0 |        -21 |         -1 |        -22 |
| tests                                                           |         16 |        509 |        156 |        150 |        815 |
| tests/host                                                      |          4 |        135 |         42 |         37 |        214 |
| tests/host/c                                                    |          3 |        118 |         39 |         29 |        186 |
| tests/host/python                                               |          1 |         17 |          3 |          8 |         28 |
| tests/kernel                                                    |         12 |        374 |        114 |        113 |        601 |
| tools                                                           |          2 |          1 |        -20 |         -6 |        -25 |
+-----------------------------------------------------------------+------------+------------+------------+------------+------------+

Files
+-----------------------------------------------------------------+----------+------------+------------+------------+------------+
| filename                                                        | language | code       | comment    | blank      | total      |
+-----------------------------------------------------------------+----------+------------+------------+------------+------------+
| /Users/esadfurkanduman/kernel__/Makefile                        | Makefile |         63 |          0 |          9 |         72 |
| /Users/esadfurkanduman/kernel__/apps/bin/hello.c                | C        |         13 |          4 |          5 |         22 |
| /Users/esadfurkanduman/kernel__/apps/hello.asm                  | Assembly |        -11 |          0 |         -3 |        -14 |
| /Users/esadfurkanduman/kernel__/apps/init.c                     | C        |        176 |        -34 |         35 |        177 |
| /Users/esadfurkanduman/kernel__/arch/x86/boot/boot.asm          | Assembly |          0 |         -6 |         -1 |         -7 |
