"filename", "language", "C", "Assembly", "Makefile", "Properties", "C++", "Python", "comment", "blank", "total"
"/Users/esadfurkanduman/kernel__/Makefile", "Makefile", 0, 0, 180, 0, 0, 0, 2, 37, 219
"/Users/esadfurkanduman/kernel__/apps/bin/hello.c", "C", 13, 0, 0, 0, 0, 0, 4, 5, 22
"/Users/esadfurkanduman/kernel__/apps/init.c", "C", 588, 0, 0, 0, 0, 0, 11, 86, 685
"/Users/esadfurkanduman/kernel__/arch/x86/boot/boot.asm", "Assembly", 0, 27, 0, 0, 0, 0, 1, 7, 35
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt.c", "C", 30, 0, 0, 0, 0, 0, 0, 8, 38
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/gdt_s.asm", "Assembly", 0, 18, 0, 0, 0, 0, 1, 6, 25
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/idt.c", "C", 79, 0, 0, 0, 0, 0, 3, 20, 102
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/idt_s.asm", "Assembly", 0, 93, 0, 0, 0, 0, 1, 13, 107
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/isr.c", "C", 113, 0, 0, 0, 0, 0, 2, 22, 137
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/timer.c", "C", 20, 0, 0, 0, 0, 0, 0, 5, 25
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/tss.c", "C", 18, 0, 0, 0, 0, 0, 0, 7, 25
"/Users/esadfurkanduman/kernel__/arch/x86/cpu/user_mode.asm", "Assembly", 0, 19, 0, 0, 0, 0, 1, 5, 25
"/Users/esadfurkanduman/kernel__/crypto/aes.c", "C", 360, 0, 0, 0, 0, 0, 131, 81, 572
"/Users/esadfurkanduman/kernel__/drivers/ata.c", "C", 104, 0, 0, 0, 0, 0, 0, 30, 134
"/Users/esadfurkanduman/kernel__/drivers/keyboard.c", "C", 104, 0, 0, 0, 0, 0, 5, 17, 126
"/Users/esadfurkanduman/kernel__/drivers/rtc.c", "C", 87, 0, 0, 0, 0, 0, 0, 20, 107
"/Users/esadfurkanduman/kernel__/drivers/tty.c", "C", 162, 0, 0, 0, 0, 0, 2, 36, 200
